,model,architecture,accuracy,precision,recall
39,10641.pth,a6,0.893,0.961,0.817
40,10642.pth,a6,0.893,0.952,0.825
41,10643.pth,a6,0.903,0.939,0.860
42,10644.pth,a6,0.894,0.949,0.830
43,10645.pth,a6,0.895,0.940,0.842
44,10646.pth,a6,0.900,0.959,0.835
45,10647.pth,a6,0.899,0.951,0.840
46,10648.pth,a6,0.897,0.956,0.829
47,10649.pth,a6,0.905,0.924,0.880
48,10650.pth,a6,0.899,0.951,0.839
49,10651.pth,a6,0.907,0.934,0.873
50,10652.pth,a6,0.889,0.949,0.820
51,10653.pth,a6,0.909,0.934,0.878
52,10654.pth,a6,0.888,0.943,0.823
53,10655.pth,a6,0.900,0.951,0.842
54,10656.pth,a6,0.877,0.912,0.831
55,10657.pth,a6,0.898,0.954,0.834
56,10658.pth,a6,0.901,0.938,0.857
57,10659.pth,a6,0.881,0.967,0.786
58,10660.pth,a6,0.896,0.935,0.849
59,10661.pth,a6,0.899,0.928,0.862
60,10662.pth,a6,0.886,0.953,0.811
61,10663.pth,a6,0.898,0.907,0.885
62,10664.pth,a6,0.892,0.960,0.816
63,10665.pth,a6,0.899,0.947,0.843
64,10666.pth,a6,0.907,0.912,0.899
65,10667.pth,a6,0.899,0.898,0.897
66,10668.pth,a6,0.907,0.946,0.862
67,10669.pth,a6,0.885,0.968,0.794
68,10670.pth,a6,0.903,0.937,0.861
69,10671.pth,a6,0.896,0.946,0.837
70,10672.pth,a6,0.902,0.953,0.843
71,10673.pth,a6,0.897,0.960,0.826
72,10674.pth,a6,0.896,0.941,0.842
73,10675.pth,a6,0.908,0.940,0.869
74,10676.pth,a6,0.901,0.928,0.866
75,10677.pth,a6,0.888,0.968,0.799
76,10678.pth,a6,0.901,0.938,0.857
77,10679.pth,a6,0.898,0.945,0.844
78,10680.pth,a6,0.891,0.960,0.813
79,10681.pth,a6,0.907,0.921,0.889
80,10682.pth,a6,0.883,0.964,0.793
81,10683.pth,a6,0.900,0.947,0.845
82,10684.pth,a6,0.896,0.954,0.829
83,10685.pth,a6,0.905,0.932,0.873
84,10686.pth,a6,0.910,0.927,0.887
85,10687.pth,a6,0.898,0.932,0.856
86,10688.pth,a6,0.900,0.947,0.845
87,10689.pth,a6,0.905,0.937,0.867
88,10690.pth,a6,0.896,0.948,0.836
89,10691.pth,a6,0.897,0.958,0.828
90,10692.pth,a6,0.901,0.938,0.857
91,10693.pth,a6,0.858,0.974,0.732
92,10694.pth,a6,0.866,0.976,0.747
93,10695.pth,a6,0.890,0.909,0.864
94,10696.pth,a6,0.910,0.938,0.876
95,10697.pth,a6,0.901,0.922,0.874
96,10698.pth,a6,0.903,0.931,0.869
97,10699.pth,a6,0.907,0.945,0.862
98,10700.pth,a6,0.900,0.939,0.854
99,10701.pth,a6,0.902,0.936,0.861
0,1800.pth,a7,0.895,0.936,0.846
1,1801.pth,a7,0.876,0.949,0.792
2,1802.pth,a7,0.886,0.952,0.810
3,1803.pth,a7,0.887,0.934,0.831
4,1804.pth,a7,0.883,0.861,0.911
5,1805.pth,a7,0.891,0.937,0.837
6,1806.pth,a7,0.882,0.897,0.860
7,1807.pth,a7,0.888,0.937,0.830
8,1808.pth,a7,0.895,0.910,0.875
9,1809.pth,a7,0.898,0.925,0.863
10,1810.pth,a7,0.868,0.819,0.942
11,1811.pth,a7,0.877,0.943,0.800
12,1812.pth,a7,0.882,0.934,0.820
13,1813.pth,a7,0.892,0.921,0.855
14,1814.pth,a7,0.885,0.874,0.897
15,1815.pth,a7,0.877,0.955,0.790
16,1816.pth,a7,0.900,0.924,0.870
17,1817.pth,a7,0.894,0.923,0.858
18,1818.pth,a7,0.891,0.921,0.852
19,1819.pth,a7,0.878,0.944,0.801
20,1820.pth,a7,0.892,0.931,0.843
21,1821.pth,a7,0.881,0.862,0.905
22,1822.pth,a7,0.890,0.884,0.894
23,1823.pth,a7,0.896,0.903,0.884
24,1824.pth,a7,0.881,0.953,0.798
25,1825.pth,a7,0.888,0.944,0.823
26,1826.pth,a7,0.888,0.902,0.870
27,1827.pth,a7,0.873,0.936,0.798
28,1828.pth,a7,0.895,0.911,0.873
29,1829.pth,a7,0.894,0.932,0.847
30,1830.pth,a7,0.900,0.909,0.887
31,1831.pth,a7,0.883,0.938,0.817
32,1832.pth,a7,0.894,0.946,0.834
33,1833.pth,a7,0.889,0.932,0.836
34,1834.pth,a7,0.895,0.890,0.900
